Sample name,title,source name,organism,idat file,characteristics: tissue,characteristics: donor,characteristics: vaccination group,characteristics: vaccination time,characteristics: time after immunization,characteristics: number of SIV challenge to infection,molecule,label,description,platform
P162_P382_post1st_rep1,post-1st immunization blood sample from donor P382,Blood sample from donor P382,Macaca mulatta,9252621094_J_Grn.idat,Blood,P382,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P382_prevax,pre-vaccination blood sample from donor P382,Blood sample from donor P382,Macaca mulatta,9252621090_B_Grn.idat,Blood,P382,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P382_post3rd,post-3rd immunization blood sample from donor P382,Blood sample from donor P382,Macaca mulatta,9252621090_J_Grn.idat,Blood,P382,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P431_post1st,post-1st immunization blood sample from donor P431,Blood sample from donor P431,Macaca mulatta,9236415101_K_Grn.idat,Blood,P431,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P431_prevax,pre-vaccination blood sample from donor P431,Blood sample from donor P431,Macaca mulatta,9252621077_I_Grn.idat,Blood,P431,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P431_post3rd,post-3rd immunization blood sample from donor P431,Blood sample from donor P431,Macaca mulatta,9252621085_C_Grn.idat,Blood,P431,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P435_post1st,post-1st immunization blood sample from donor P435,Blood sample from donor P435,Macaca mulatta,9252621090_I_Grn.idat,Blood,P435,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P435_prevax,pre-vaccination blood sample from donor P435,Blood sample from donor P435,Macaca mulatta,9252621077_L_Grn.idat,Blood,P435,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P435_post3rd,post-3rd immunization blood sample from donor P435,Blood sample from donor P435,Macaca mulatta,9252621077_K_Grn.idat,Blood,P435,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P436_post1st,post-1st immunization blood sample from donor P436,Blood sample from donor P436,Macaca mulatta,9252621090_G_Grn.idat,Blood,P436,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P436_prevax,pre-vaccination blood sample from donor P436,Blood sample from donor P436,Macaca mulatta,9252621094_H_Grn.idat,Blood,P436,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P436_post3rd,post-3rd immunization blood sample from donor P436,Blood sample from donor P436,Macaca mulatta,9236415101_H_Grn.idat,Blood,P436,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P615_post1st,post-1st immunization blood sample from donor P615,Blood sample from donor P615,Macaca mulatta,9256320082_L_Grn.idat,Blood,P615,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P615_prevax,pre-vaccination blood sample from donor P615,Blood sample from donor P615,Macaca mulatta,9252621060_E_Grn.idat,Blood,P615,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,6,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P615_post3rd,post-3rd immunization blood sample from donor P615,Blood sample from donor P615,Macaca mulatta,9236415053_E_Grn.idat,Blood,P615,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P621_post1st,post-1st immunization blood sample from donor P621,Blood sample from donor P621,Macaca mulatta,9252621074_J_Grn.idat,Blood,P621,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P621_prevax,pre-vaccination blood sample from donor P621,Blood sample from donor P621,Macaca mulatta,9252621074_K_Grn.idat,Blood,P621,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P621_post3rd,post-3rd immunization blood sample from donor P621,Blood sample from donor P621,Macaca mulatta,9231092001_I_Grn.idat,Blood,P621,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P625_post1st,post-1st immunization blood sample from donor P625,Blood sample from donor P625,Macaca mulatta,9256320082_B_Grn.idat,Blood,P625,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P625_prevax,pre-vaccination blood sample from donor P625,Blood sample from donor P625,Macaca mulatta,9252621074_G_Grn.idat,Blood,P625,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P625_post3rd,post-3rd immunization blood sample from donor P625,Blood sample from donor P625,Macaca mulatta,9231092001_J_Grn.idat,Blood,P625,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P628_post1st,post-1st immunization blood sample from donor P628,Blood sample from donor P628,Macaca mulatta,9231092016_E_Grn.idat,Blood,P628,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P628_prevax,pre-vaccination blood sample from donor P628,Blood sample from donor P628,Macaca mulatta,9256320082_E_Grn.idat,Blood,P628,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P628_post3rd,post-3rd immunization blood sample from donor P628,Blood sample from donor P628,Macaca mulatta,9236415053_L_Grn.idat,Blood,P628,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P636_post1st,post-1st immunization blood sample from donor P636,Blood sample from donor P636,Macaca mulatta,9252621074_A_Grn.idat,Blood,P636,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,8,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P636_prevax,pre-vaccination blood sample from donor P636,Blood sample from donor P636,Macaca mulatta,9252621074_E_Grn.idat,Blood,P636,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,8,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P636_post3rd,post-3rd immunization blood sample from donor P636,Blood sample from donor P636,Macaca mulatta,9231092001_C_Grn.idat,Blood,P636,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,8,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P639_post1st,post-1st immunization blood sample from donor P639,Blood sample from donor P639,Macaca mulatta,9231092016_B_Grn.idat,Blood,P639,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P639_prevax,pre-vaccination blood sample from donor P639,Blood sample from donor P639,Macaca mulatta,9236415053_D_Grn.idat,Blood,P639,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P639_post3rd,post-3rd immunization blood sample from donor P639,Blood sample from donor P639,Macaca mulatta,9252621077_G_Grn.idat,Blood,P639,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P661_post1st,post-1st immunization blood sample from donor P661,Blood sample from donor P661,Macaca mulatta,9252621085_J_Grn.idat,Blood,P661,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P661_prevax,pre-vaccination blood sample from donor P661,Blood sample from donor P661,Macaca mulatta,9231092001_E_Grn.idat,Blood,P661,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,6,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P661_post3rd,post-3rd immunization blood sample from donor P661,Blood sample from donor P661,Macaca mulatta,9231092091_D_Grn.idat,Blood,P661,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P662_post1st,post-1st immunization blood sample from donor P662,Blood sample from donor P662,Macaca mulatta,9236415053_J_Grn.idat,Blood,P662,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P662_prevax,pre-vaccination blood sample from donor P662,Blood sample from donor P662,Macaca mulatta,9236415101_D_Grn.idat,Blood,P662,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P662_post3rd,post-3rd immunization blood sample from donor P662,Blood sample from donor P662,Macaca mulatta,9252621094_D_Grn.idat,Blood,P662,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P668_post1st,post-1st immunization blood sample from donor P668,Blood sample from donor P668,Macaca mulatta,9256320082_I_Grn.idat,Blood,P668,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P668_prevax,pre-vaccination blood sample from donor P668,Blood sample from donor P668,Macaca mulatta,9231092091_A_Grn.idat,Blood,P668,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P668_post3rd,post-3rd immunization blood sample from donor P668,Blood sample from donor P668,Macaca mulatta,9252621085_G_Grn.idat,Blood,P668,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P692_post1st,post-1st immunization blood sample from donor P692,Blood sample from donor P692,Macaca mulatta,9252621060_L_Grn.idat,Blood,P692,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P692_prevax,pre-vaccination blood sample from donor P692,Blood sample from donor P692,Macaca mulatta,9252621094_A_Grn.idat,Blood,P692,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P692_post3rd,post-3rd immunization blood sample from donor P692,Blood sample from donor P692,Macaca mulatta,9252621060_J_Grn.idat,Blood,P692,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P700_post1st,post-1st immunization blood sample from donor P700,Blood sample from donor P700,Macaca mulatta,9252621091_I_Grn.idat,Blood,P700,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P700_prevax,pre-vaccination blood sample from donor P700,Blood sample from donor P700,Macaca mulatta,9252621060_I_Grn.idat,Blood,P700,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P700_post3rd,post-3rd immunization blood sample from donor P700,Blood sample from donor P700,Macaca mulatta,9231092020_B_Grn.idat,Blood,P700,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P708_post1st,post-1st immunization blood sample from donor P708,Blood sample from donor P708,Macaca mulatta,9252621091_C_Grn.idat,Blood,P708,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P708_prevax,pre-vaccination blood sample from donor P708,Blood sample from donor P708,Macaca mulatta,9231092001_A_Grn.idat,Blood,P708,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P708_post3rd,post-3rd immunization blood sample from donor P708,Blood sample from donor P708,Macaca mulatta,9252621077_B_Grn.idat,Blood,P708,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P726_post1st,post-1st immunization blood sample from donor P726,Blood sample from donor P726,Macaca mulatta,9231092016_L_Grn.idat,Blood,P726,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P726_prevax,pre-vaccination blood sample from donor P726,Blood sample from donor P726,Macaca mulatta,9252621085_D_Grn.idat,Blood,P726,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P726_post3rd,post-3rd immunization blood sample from donor P726,Blood sample from donor P726,Macaca mulatta,9252621090_F_Grn.idat,Blood,P726,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P734_post1st,post-1st immunization blood sample from donor P734,Blood sample from donor P734,Macaca mulatta,9236415053_K_Grn.idat,Blood,P734,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P734_prevax,pre-vaccination blood sample from donor P734,Blood sample from donor P734,Macaca mulatta,9256320082_K_Grn.idat,Blood,P734,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P734_post3rd,post-3rd immunization blood sample from donor P734,Blood sample from donor P734,Macaca mulatta,9252621090_L_Grn.idat,Blood,P734,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P742_post1st,post-1st immunization blood sample from donor P742,Blood sample from donor P742,Macaca mulatta,9236415053_G_Grn.idat,Blood,P742,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P742_prevax,pre-vaccination blood sample from donor P742,Blood sample from donor P742,Macaca mulatta,9231092091_L_Grn.idat,Blood,P742,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P742_post3rd,post-3rd immunization blood sample from donor P742,Blood sample from donor P742,Macaca mulatta,9231092020_H_Grn.idat,Blood,P742,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P753_post1st,post-1st immunization blood sample from donor P753,Blood sample from donor P753,Macaca mulatta,9231092001_F_Grn.idat,Blood,P753,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P753_prevax,pre-vaccination blood sample from donor P753,Blood sample from donor P753,Macaca mulatta,9231092016_I_Grn.idat,Blood,P753,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P753_post3rd,post-3rd immunization blood sample from donor P753,Blood sample from donor P753,Macaca mulatta,9231092001_D_Grn.idat,Blood,P753,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P755_post1st,post-1st immunization blood sample from donor P755,Blood sample from donor P755,Macaca mulatta,9256320082_F_Grn.idat,Blood,P755,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P755_prevax,pre-vaccination blood sample from donor P755,Blood sample from donor P755,Macaca mulatta,9231092001_G_Grn.idat,Blood,P755,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P755_post3rd,post-3rd immunization blood sample from donor P755,Blood sample from donor P755,Macaca mulatta,9231092001_K_Grn.idat,Blood,P755,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P767_post1st,post-1st immunization blood sample from donor P767,Blood sample from donor P767,Macaca mulatta,9231092020_L_Grn.idat,Blood,P767,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P767_prevax,pre-vaccination blood sample from donor P767,Blood sample from donor P767,Macaca mulatta,9231092091_I_Grn.idat,Blood,P767,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P767_post3rd,post-3rd immunization blood sample from donor P767,Blood sample from donor P767,Macaca mulatta,9252621077_E_Grn.idat,Blood,P767,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P770_post1st,post-1st immunization blood sample from donor P770,Blood sample from donor P770,Macaca mulatta,9256320082_C_Grn.idat,Blood,P770,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P770_prevax,pre-vaccination blood sample from donor P770,Blood sample from donor P770,Macaca mulatta,9252621091_L_Grn.idat,Blood,P770,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,neg,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P770_post3rd,post-3rd immunization blood sample from donor P770,Blood sample from donor P770,Macaca mulatta,9236415101_E_Grn.idat,Blood,P770,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P773_post1st,post-1st immunization blood sample from donor P773,Blood sample from donor P773,Macaca mulatta,9252621090_D_Grn.idat,Blood,P773,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P773_prevax,pre-vaccination blood sample from donor P773,Blood sample from donor P773,Macaca mulatta,9252621085_F_Grn.idat,Blood,P773,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,6,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P773_post3rd,post-3rd immunization blood sample from donor P773,Blood sample from donor P773,Macaca mulatta,9231092091_K_Grn.idat,Blood,P773,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,6,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P787_post1st,post-1st immunization blood sample from donor P787,Blood sample from donor P787,Macaca mulatta,9252621077_F_Grn.idat,Blood,P787,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P787_prevax,pre-vaccination blood sample from donor P787,Blood sample from donor P787,Macaca mulatta,9252621060_K_Grn.idat,Blood,P787,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P787_post3rd,post-3rd immunization blood sample from donor P787,Blood sample from donor P787,Macaca mulatta,9231092020_G_Grn.idat,Blood,P787,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P833_post1st,post-1st immunization blood sample from donor P833,Blood sample from donor P833,Macaca mulatta,9236415101_I_Grn.idat,Blood,P833,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P833_prevax,pre-vaccination blood sample from donor P833,Blood sample from donor P833,Macaca mulatta,9231092001_L_Grn.idat,Blood,P833,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P833_post3rd,post-3rd immunization blood sample from donor P833,Blood sample from donor P833,Macaca mulatta,9252621094_G_Grn.idat,Blood,P833,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P837_post1st,post-1st immunization blood sample from donor P837,Blood sample from donor P837,Macaca mulatta,9231092016_J_Grn.idat,Blood,P837,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P837_prevax,pre-vaccination blood sample from donor P837,Blood sample from donor P837,Macaca mulatta,9252621074_H_Grn.idat,Blood,P837,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P837_post3rd,post-3rd immunization blood sample from donor P837,Blood sample from donor P837,Macaca mulatta,9256320082_G_Grn.idat,Blood,P837,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P838_post1st,post-1st immunization blood sample from donor P838,Blood sample from donor P838,Macaca mulatta,9252621060_D_Grn.idat,Blood,P838,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P838_prevax,pre-vaccination blood sample from donor P838,Blood sample from donor P838,Macaca mulatta,9252621091_B_Grn.idat,Blood,P838,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
